F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Number of Defects
7,2,6,4,4,6,122,10,3,1,10,2
6,3,1,5,5,6,97,10,3,1,9,3
6,3,1,5,5,6,97,10,3,1,9,3
6,4,1,6,6,6,91,10,3,0,8,2
8,5,3,9,5,6,194,10,3,1,9,3
5,4,1,1,3,6,51,10,4,0,11,2
8,2,4,1,5,6,94,10,3,1,10,3
8,5,2,7,3,6,158,10,3,0,11,3
7,2,3,1,5,6,132,10,3,0,11,2
6,5,0,1,4,6,81,10,3,0,10,2
8,1,3,1,4,7,47,10,3,0,10,4
6,3,3,10,2,7,57,10,3,0,11,3
7,5,3,3,9,7,135,10,3,1,9,3
7,3,3,13,5,7,41,10,3,0,12,3
6,3,4,1,5,7,140,10,3,1,11,5
7,3,7,1,6,7,151,10,3,1,10,2
7,2,4,2,3,7,46,10,3,1,11,4
6,4,0,1,4,7,55,10,3,0,11,2
8,2,4,5,4,7,77,10,3,1,12,3
8,2,4,5,4,7,77,10,3,1,12,3
8,3,4,1,5,7,69,10,3,1,10,2
9,4,3,2,5,7,175,10,3,0,10,2
7,4,2,1,5,7,119,10,3,0,10,4
7,4,2,1,5,7,119,10,3,0,10,4
8,2,4,1,4,7,106,10,3,0,11,2
6,2,3,6,4,7,73,10,3,0,12,4
6,2,3,1,4,7,89,10,3,0,11,3
7,3,3,7,4,7,81,10,3,0,11,6
8,4,3,4,3,7,112,10,3,0,13,4
8,4,3,4,3,7,112,10,3,0,13,4
8,2,3,1,4,7,49,10,3,1,10,3
8,2,3,1,4,7,49,10,3,1,10,3
7,2,6,6,4,7,113,10,3,1,10,3
7,2,6,6,4,7,109,10,3,1,10,4
6,3,2,1,6,7,108,10,3,1,10,2
6,5,0,2,7,8,103,10,4,0,10,2
6,4,3,6,4,8,97,10,3,0,11,5
6,4,3,6,4,8,97,10,3,0,11,5
7,3,4,1,4,8,70,10,3,0,12,4
6,3,3,2,4,8,210,10,3,1,10,4
7,3,3,2,4,8,210,10,3,1,10,3
8,3,4,2,4,8,167,10,3,0,12,4
8,2,3,2,4,8,143,10,3,1,10,3
8,2,3,2,4,8,143,10,3,1,10,3
8,3,5,1,5,8,72,10,3,1,10,2
7,3,4,6,3,8,84,10,3,0,12,3
8,3,4,9,4,8,117,10,3,0,12,5
7,4,2,1,5,8,119,10,3,0,10,2
8,3,2,5,5,8,134,10,3,1,9,1
8,2,5,1,3,8,97,10,3,1,11,3
8,4,6,1,4,8,84,10,3,0,11,3
7,5,3,7,5,8,178,10,3,0,9,2
7,5,3,7,5,8,178,10,3,0,9,2
7,4,5,11,5,8,110,10,3,0,9,3
7,3,4,1,5,8,163,10,3,0,11,3
7,3,4,1,5,8,163,10,3,0,11,3
8,10,6,66,7,8,160,10,3,1,12,4
8,3,4,11,3,8,70,10,3,0,12,4
6,2,3,5,4,8,79,10,3,0,11,4
6,3,3,2,4,8,108,10,3,1,9,3
6,3,3,2,4,8,108,10,3,1,9,3
7,3,3,3,14,8,111,10,3,0,10,2
7,2,4,13,3,8,74,10,3,1,13,4
6,7,0,6,3,8,31,10,3,1,11,2
6,11,2,4,3,8,109,10,3,0,12,2
7,2,3,2,4,8,72,10,3,0,13,4
6,2,3,15,6,8,120,10,3,1,10,4
6,2,3,15,6,8,120,10,3,1,10,4
6,6,0,1,3,8,50,10,3,0,11,2
7,2,3,10,3,8,81,10,3,1,10,4
9,2,5,1,5,9,72,10,3,0,9,4
6,7,1,1,6,9,108,10,3,0,9,2
8,3,4,1,4,9,60,10,3,1,11,3
6,5,1,1,3,9,131,10,3,0,11,3
6,5,1,1,3,9,131,10,3,0,11,3
7,2,4,4,3,9,95,10,3,0,11,4
6,4,3,1,6,9,160,10,3,1,9,5
9,4,4,2,4,9,121,10,3,0,10,4
8,2,4,2,5,9,101,10,3,1,11,2
6,2,7,2,15,9,55,10,3,0,10,4
7,2,2,1,5,9,62,10,3,0,10,2
9,3,4,6,2,9,87,10,3,0,13,5
6,4,2,7,7,9,117,10,3,0,10,2
9,2,5,7,4,9,63,10,3,1,11,4
8,4,2,3,5,9,116,10,3,0,9,3
8,4,2,3,5,9,116,10,3,0,9,3
8,3,3,4,4,9,76,10,3,0,12,2
6,4,4,6,3,9,148,10,3,1,10,2
6,2,4,1,5,9,71,10,4,1,11,5
7,3,3,4,3,9,45,10,3,0,11,4
7,3,3,4,3,9,45,10,3,0,11,4
6,3,3,2,4,9,109,10,3,1,9,3
7,4,3,5,3,9,125,10,3,1,12,3
6,3,3,8,4,9,34,10,3,0,13,5
6,2,3,1,3,9,94,10,3,1,11,4
7,3,2,7,4,9,126,10,3,1,9,3
6,7,1,7,4,9,84,10,3,0,10,3
6,7,1,7,4,9,84,10,3,0,10,3
6,4,5,1,3,9,65,10,3,0,12,2
6,1,3,3,4,10,69,10,4,1,10,4
7,3,3,10,4,10,175,10,3,1,11,2
8,2,4,2,5,10,87,10,3,0,12,4
6,5,1,1,3,10,131,10,3,0,11,3
6,5,1,1,3,10,131,10,3,0,11,3
8,2,3,1,3,10,64,10,3,0,10,3
6,4,3,1,5,10,67,10,3,0,11,3
7,7,3,3,5,10,57,10,3,1,10,2
6,2,7,2,15,10,54,10,3,0,10,3
8,2,4,2,4,10,119,10,3,1,13,4
8,2,4,2,4,10,119,10,3,1,13,4
5,3,2,2,5,10,97,10,3,0,11,4
5,3,2,2,5,10,97,10,3,0,11,4
5,3,2,2,5,10,97,10,3,0,11,4
7,2,4,5,8,10,133,10,3,0,11,4
7,4,2,4,3,10,102,10,3,1,12,2
7,4,2,4,3,10,102,10,3,1,12,2
7,3,4,2,5,10,136,10,3,1,11,4
8,5,2,1,4,10,104,10,3,0,11,4
8,2,5,2,6,10,145,10,3,0,10,3
9,3,5,2,6,10,112,10,3,0,10,3
9,3,5,2,6,10,112,10,3,0,10,3
6,4,2,2,3,10,53,10,3,1,14,5
7,3,4,1,4,10,124,10,3,0,10,4
8,3,2,2,3,10,67,10,3,0,11,3
7,3,4,3,4,10,164,10,3,1,12,4
7,3,4,3,4,10,164,10,3,1,12,4
8,4,3,2,3,10,59,10,3,0,10,3
7,4,3,2,4,10,124,10,3,1,10,3
7,4,3,2,4,10,124,10,3,1,10,3
7,4,4,2,5,10,164,10,3,1,10,3
7,4,4,9,5,10,147,10,3,0,10,4
7,4,4,9,5,10,147,10,3,0,10,4
6,5,3,6,5,10,94,10,3,0,10,3
7,1,3,1,3,10,56,10,3,0,10,3
7,3,2,2,5,10,112,10,3,0,10,3
6,4,5,1,3,10,102,10,3,0,12,4
6,2,2,6,4,10,86,10,3,0,12,3
8,3,4,2,4,10,98,10,3,1,11,3
9,3,6,2,5,10,70,10,3,1,11,2
8,3,4,1,4,10,80,10,3,0,11,3
8,3,4,1,4,10,80,10,3,0,11,3
7,3,2,5,3,10,73,10,3,1,12,5
6,2,2,3,4,10,108,10,3,1,10,3
6,2,2,3,4,10,108,10,3,1,10,3
7,2,4,6,3,10,40,10,3,1,11,3
5,2,3,3,4,10,51,10,3,1,13,4
6,2,2,5,5,10,122,10,3,1,10,4
7,4,3,9,4,10,92,10,3,0,12,4
9,2,3,4,5,10,40,10,3,0,10,4
9,2,3,4,5,10,40,10,3,0,10,4
6,3,3,2,4,10,72,10,3,0,12,4
6,3,4,3,3,10,69,10,3,1,11,4
7,4,7,8,5,10,100,10,3,1,11,3
5,4,2,1,4,10,44,10,4,0,12,2
8,3,4,1,3,11,63,10,3,1,12,3
8,4,5,2,5,11,207,10,3,1,11,3
6,2,3,2,2,11,82,10,3,0,13,5
6,5,7,10,8,11,159,10,3,0,9,3
6,3,1,1,4,11,30,10,3,0,9,3
6,3,1,1,4,11,30,10,3,0,9,3
7,5,2,6,4,11,77,10,3,1,10,3
6,4,1,1,4,11,64,10,3,1,11,3
6,4,1,1,4,11,64,10,3,1,11,3
10,4,5,2,4,11,124,10,3,0,11,3
9,3,3,2,5,11,200,10,3,0,9,3
10,2,5,1,3,11,59,10,3,0,11,4
9,3,5,7,4,11,73,10,3,0,12,3
7,4,5,1,5,11,138,10,3,0,9,3
8,2,5,1,5,11,137,10,3,0,11,4
7,4,5,1,5,11,138,10,3,0,9,3
8,2,5,1,4,11,99,10,3,1,10,3
8,4,4,2,4,11,124,10,3,0,11,3
9,2,4,1,4,11,71,10,3,0,11,3
9,2,4,1,4,11,71,10,3,0,11,3
7,3,1,8,4,11,117,10,3,0,9,3
7,3,1,8,4,11,117,10,3,0,9,3
9,3,3,3,3,11,61,10,3,0,12,4
8,3,3,1,4,11,126,10,3,1,10,4
5,4,0,1,5,11,178,10,4,1,10,3
8,3,3,3,5,11,71,10,3,0,10,3
8,4,5,8,4,11,110,10,3,1,10,4
9,3,4,1,5,11,119,10,3,0,9,2
9,3,4,1,5,11,119,10,3,0,9,2
7,3,3,2,3,11,103,10,3,0,11,4
7,3,3,2,3,11,103,10,3,0,11,4
5,2,3,1,3,11,66,10,3,0,10,3
5,2,3,1,3,11,68,10,3,0,10,3
6,2,4,1,4,11,70,10,3,1,10,5
7,2,3,11,3,11,77,10,3,1,13,5
7,2,3,1,4,11,95,10,3,0,13,4
7,2,3,1,4,11,95,10,3,0,13,4
6,6,1,2,5,11,76,10,3,0,10,2
8,3,4,1,4,11,126,10,3,0,10,3
8,3,4,1,4,11,126,10,3,0,10,3
6,2,3,3,3,11,100,10,3,0,13,5
7,4,2,1,5,11,107,10,3,0,9,3
6,3,3,5,5,11,133,10,3,1,11,4
5,5,1,1,4,11,74,10,3,1,11,2
6,3,4,1,3,11,49,10,3,0,13,4
8,3,3,1,5,12,88,10,3,0,10,2
8,2,4,8,5,12,76,10,3,1,10,4
6,2,3,10,3,12,68,10,3,0,11,3
6,2,3,1,3,12,77,10,3,0,11,5
6,2,3,1,3,12,76,10,3,0,11,5
8,2,4,1,5,12,74,10,3,0,11,4
6,3,3,6,3,12,80,10,3,0,11,3
6,3,4,1,5,12,139,10,3,1,10,3
6,3,3,2,4,12,119,10,3,1,10,5
6,3,3,2,4,12,119,10,3,1,10,5
7,2,4,2,3,12,65,10,3,0,13,5
7,4,4,6,6,12,94,10,3,1,11,4
7,3,3,2,5,12,86,10,3,0,9,3
7,3,3,2,5,12,86,10,3,0,9,3
7,3,7,1,6,12,171,10,3,0,10,3
6,3,3,1,19,12,188,10,3,1,9,3
8,3,4,6,3,12,126,10,3,0,12,5
8,3,4,6,4,12,126,10,3,0,12,5
7,3,3,2,4,12,87,10,3,0,11,4
6,3,2,3,3,12,120,10,3,1,14,5
9,3,3,1,4,12,188,10,3,0,10,3
7,2,3,1,4,12,143,10,3,0,11,5
7,2,3,1,4,12,143,10,3,0,11,5
8,2,4,7,3,12,90,10,3,0,11,6
6,4,5,6,5,12,115,10,3,1,9,2
10,2,3,1,4,12,53,10,3,0,11,3
7,2,3,2,5,12,136,10,3,0,12,5
7,3,6,13,6,12,105,10,3,0,9,3
7,3,6,13,6,12,105,10,3,0,9,3
8,3,3,3,5,12,72,10,3,0,10,3
9,2,2,10,3,12,97,10,3,0,11,4
5,5,1,5,3,12,107,10,3,1,14,5
5,1,3,2,3,12,90,10,4,1,12,4
7,5,3,20,4,12,67,10,3,0,11,4
7,5,3,20,4,12,67,10,3,0,11,4
6,4,4,2,2,12,76,10,3,0,12,4
6,4,5,8,3,12,88,10,3,0,14,4
7,2,5,1,3,12,72,10,3,1,11,5
6,3,3,2,4,12,76,10,3,0,12,4
7,4,3,6,3,12,93,10,3,0,13,5
7,3,4,1,2,12,66,10,3,1,11,5
7,5,2,4,3,12,88,10,3,1,13,4
6,2,4,3,14,12,65,10,3,1,11,4
7,3,4,2,6,12,120,10,3,0,10,3
7,3,3,1,4,12,83,10,3,1,11,3
7,3,3,2,3,12,74,10,3,1,13,4
6,3,2,1,3,12,83,10,3,0,11,4
6,3,3,2,4,12,110,10,3,1,11,4
6,4,4,3,3,12,73,10,3,0,11,4
6,4,3,1,5,12,117,10,3,0,12,3
6,2,4,2,4,12,113,10,3,1,11,3
6,5,0,1,3,12,82,10,3,0,9,3
7,4,3,1,3,13,66,10,3,0,11,3
7,5,2,1,5,13,125,10,3,1,9,3
6,3,3,1,4,13,174,10,3,1,10,3
9,3,5,6,3,13,41,10,3,0,11,3
6,5,2,1,4,13,98,10,3,0,9,3
7,3,3,1,4,13,67,10,3,0,11,4
6,3,2,3,5,13,100,10,3,0,10,3
8,3,3,2,4,13,133,10,3,0,10,3
8,6,2,8,4,13,60,10,3,0,10,2
8,2,3,1,4,13,102,10,3,1,11,3
6,3,3,2,2,13,76,10,3,1,13,5
6,5,3,1,4,13,82,10,3,0,10,3
5,4,3,1,3,13,81,10,3,0,12,4
8,5,2,2,3,13,151,10,3,0,10,3
7,3,2,4,6,13,85,10,3,0,10,2
7,3,2,4,6,13,85,10,3,0,10,2
10,3,5,15,5,13,119,10,3,0,10,3
6,3,4,2,5,13,200,10,3,0,11,2
7,3,4,2,3,13,84,10,3,1,10,3
9,3,3,2,6,13,176,10,3,0,10,3
9,2,3,1,2,13,91,10,3,0,10,3
9,2,3,1,2,13,91,10,3,0,10,3
7,2,3,8,5,13,114,10,3,0,11,4
7,3,2,1,6,13,137,10,3,0,10,3
7,3,2,1,6,13,137,10,3,0,10,3
7,3,3,2,3,13,128,10,3,0,11,3
7,3,3,2,3,13,128,10,3,0,11,3
7,2,3,5,4,13,101,10,3,0,12,4
7,2,3,2,3,13,168,10,3,1,12,4
9,2,3,11,3,13,96,10,3,0,11,3
7,3,4,1,3,13,145,10,3,1,10,3
8,5,3,3,5,13,135,10,3,1,10,3
7,2,3,1,3,13,73,10,3,1,11,4
7,3,4,12,3,13,92,10,3,0,11,2
5,2,3,2,3,13,59,10,3,1,12,6
5,2,3,2,3,13,59,10,3,1,12,6
7,2,3,2,5,13,117,10,3,1,12,4
8,2,5,7,5,13,134,10,3,1,10,3
8,4,3,13,3,13,63,10,3,0,13,4
7,3,3,9,3,13,121,10,3,0,12,4
7,4,2,11,10,13,91,10,3,0,9,3
7,4,2,11,10,13,91,10,3,0,9,3
5,2,2,1,5,13,99,10,3,0,12,3
6,3,3,4,4,13,116,10,3,0,12,5
8,3,4,1,5,13,136,10,3,1,10,3
7,4,3,3,10,13,75,10,3,1,13,4
7,3,4,2,6,13,119,10,3,1,11,3
7,3,4,6,5,13,164,10,3,0,9,2
6,3,0,10,4,13,111,10,3,0,12,4
6,2,3,8,5,13,68,10,3,0,10,4
6,3,2,4,4,13,95,10,3,1,13,4
8,1,4,9,3,13,60,10,3,0,11,3
6,4,3,3,3,13,73,10,3,1,13,5
8,3,6,2,5,13,106,10,3,0,12,3
6,2,4,2,4,13,61,10,3,1,11,4
6,3,3,2,5,14,132,10,3,0,10,4
6,3,3,2,5,14,132,10,3,0,10,4
7,2,3,5,6,14,146,10,3,0,9,4
6,4,3,5,5,14,85,10,3,0,11,3
7,3,3,1,4,14,67,10,3,0,11,2
6,4,4,1,5,14,167,10,3,1,10,4
7,2,4,1,4,14,55,10,3,1,12,5
7,3,2,3,5,14,136,10,3,0,10,3
9,3,5,6,2,14,49,10,3,0,11,5
6,4,5,2,11,14,138,10,3,1,9,3
6,2,3,1,4,14,75,10,3,1,11,6
7,2,3,1,3,14,99,10,3,1,10,4
8,2,4,3,4,14,101,10,3,0,12,3
7,1,4,2,5,14,114,10,3,1,12,4
7,3,4,7,2,14,93,10,3,0,11,5
9,3,4,1,4,14,59,10,3,0,11,4
7,3,3,2,3,14,153,10,3,1,11,4
6,2,3,1,4,14,79,10,4,1,10,4
9,2,6,2,5,14,94,10,3,1,10,4
9,3,4,1,5,14,186,10,3,0,10,3
7,5,2,2,4,14,155,10,3,1,13,4
9,4,5,1,4,14,56,10,3,0,11,2
8,2,5,4,6,14,108,10,3,0,12,4
8,2,5,4,6,14,108,10,3,0,12,4
9,2,2,2,4,14,67,10,3,0,10,3
9,3,3,1,6,14,171,10,3,0,10,3
7,2,6,16,4,14,103,10,3,0,9,4
7,2,6,16,4,14,103,10,3,0,9,4
7,2,6,16,4,14,103,10,3,0,9,4
7,2,3,8,4,14,118,10,3,0,10,3
6,2,6,1,21,14,96,10,3,0,10,4
9,6,3,8,3,14,71,10,3,0,12,3
9,6,3,8,3,14,71,10,3,0,12,3
9,3,3,11,3,14,111,10,3,0,11,3
8,2,4,2,3,14,122,10,3,0,10,2
7,4,8,1,22,14,74,10,3,1,10,3
8,2,4,2,6,14,167,10,3,1,10,3
8,3,3,2,3,14,141,10,3,1,12,4
8,5,3,7,2,14,130,10,3,0,13,5
8,3,5,4,5,14,102,10,3,1,10,3
7,2,3,4,3,14,107,10,3,0,10,6
7,2,3,4,3,14,107,10,3,0,10,6
8,2,4,5,7,14,91,10,3,1,10,3
7,2,4,1,3,14,71,10,3,0,13,5
7,2,4,1,3,14,71,10,3,0,13,5
7,2,3,2,3,14,82,10,3,1,11,5
7,2,3,2,3,14,82,10,3,1,11,5
7,3,3,9,2,14,111,10,3,1,11,3
7,4,4,13,11,14,94,10,3,0,9,3
7,3,3,8,2,14,104,10,3,0,11,4
7,3,3,8,2,14,104,10,3,0,11,4
7,1,3,1,4,14,64,10,3,0,12,5
6,2,3,1,4,14,119,10,3,1,10,4
6,3,3,5,4,14,97,10,3,0,12,5
6,4,3,8,4,14,88,10,3,0,13,5
7,3,3,7,3,14,78,10,3,0,12,5
7,3,3,7,3,14,78,10,3,0,12,5
7,3,3,4,5,14,73,10,3,0,11,4
7,3,3,5,6,14,169,10,3,1,12,4
7,2,3,1,4,14,63,10,3,0,12,4
7,4,3,6,2,14,73,10,3,1,13,4
7,3,3,5,5,14,92,10,3,1,12,4
7,5,2,6,5,14,125,10,3,0,10,3
7,5,2,6,5,14,125,10,3,0,10,3
7,2,2,1,6,14,100,10,3,1,10,3
6,2,3,2,4,14,73,10,3,0,12,5
7,3,4,2,3,14,79,10,3,1,12,4
6,2,4,2,4,14,61,10,3,1,11,4
9,3,4,1,3,15,80,10,3,0,11,5
6,6,1,5,6,15,97,10,3,0,9,2
7,6,3,2,4,15,77,10,3,1,10,3
7,3,4,8,4,15,95,10,3,0,10,3
6,1,2,1,4,15,65,10,4,1,10,5
6,2,3,2,4,15,105,10,3,0,11,4
7,3,2,2,4,15,68,10,3,0,9,4
7,3,2,2,4,15,68,10,3,0,9,4
6,3,4,2,5,15,182,10,4,1,10,3
6,3,3,6,4,15,129,10,3,0,10,4
6,3,3,6,4,15,129,10,3,0,10,4
8,3,3,2,4,15,134,10,3,0,10,3
8,3,3,2,4,15,134,10,3,0,10,3
5,4,2,2,3,15,72,10,4,0,13,4
8,4,4,1,4,15,75,10,3,0,9,3
8,2,4,1,4,15,96,10,3,1,12,4
9,3,3,1,3,15,151,10,3,0,11,3
8,2,5,1,6,15,73,10,3,0,10,4
8,6,5,5,3,15,118,10,3,0,10,3
8,6,5,5,3,15,118,10,3,0,10,3
7,1,4,1,4,15,73,10,3,0,10,3
7,2,3,2,3,15,78,10,3,0,11,4
9,4,4,1,4,15,61,10,3,0,10,2
7,3,2,1,5,15,96,10,3,0,10,2
7,4,3,3,3,15,85,10,3,1,13,4
7,4,3,3,3,15,85,10,3,1,13,4
7,2,2,2,5,15,60,10,3,0,10,3
8,2,5,2,5,15,144,10,3,0,11,3
9,2,7,3,4,15,126,10,3,1,11,4
7,2,5,1,4,15,164,10,3,1,11,3
7,2,5,7,4,15,110,10,3,0,11,5
6,2,2,3,5,15,104,10,3,0,9,3
7,3,4,9,5,15,89,10,3,1,10,4
6,2,6,1,20,15,97,10,3,0,10,4
9,7,2,6,4,15,93,10,3,0,10,4
12,2,4,11,3,15,123,10,3,1,10,1
7,3,4,1,4,15,115,10,3,1,12,3
7,2,3,2,5,15,76,10,3,0,11,4
7,4,3,2,7,15,162,10,3,0,9,3
7,4,3,2,7,15,162,10,3,0,9,3
8,4,2,1,6,15,168,10,3,0,9,4
7,3,3,3,3,15,80,10,3,1,13,5
7,1,3,3,2,15,37,10,3,1,12,5
7,1,3,3,2,15,37,10,3,1,12,5
7,2,3,17,5,15,110,10,3,0,9,4
7,2,3,17,5,15,110,10,3,0,9,4
5,1,3,1,4,15,89,10,3,0,9,4
8,1,3,1,3,15,86,10,3,0,11,6
8,4,4,8,5,15,122,10,3,0,9,3
8,3,3,10,3,15,136,10,3,0,12,4
7,5,3,5,3,15,72,10,3,1,12,5
7,4,3,7,3,15,138,10,3,0,13,4
6,3,3,2,3,15,70,10,3,0,12,6
6,2,3,7,3,15,83,10,3,1,11,6
6,2,3,7,3,15,83,10,3,1,11,6
7,4,2,1,4,15,72,10,3,0,11,3
6,3,3,2,2,15,65,10,3,1,11,4
7,1,5,2,4,15,92,10,3,0,11,3
6,3,3,15,4,15,144,10,3,1,10,4
6,3,3,4,4,15,80,10,3,1,13,4
7,2,3,2,4,15,103,10,3,1,12,4
8,3,3,10,4,15,85,10,3,0,11,4
8,3,3,10,4,15,85,10,3,0,11,4
8,2,3,1,4,15,102,10,3,1,10,4
7,3,3,2,1,15,143,10,3,1,12,2
8,3,4,4,3,15,87,10,3,0,12,3
6,3,6,1,6,15,120,10,3,0,10,3
6,3,6,1,6,15,120,10,3,0,10,3
7,4,2,11,6,15,82,10,3,0,10,2
7,3,3,6,4,15,68,10,3,1,11,4
8,4,6,10,6,15,170,10,3,1,10,4
7,2,3,2,4,15,96,10,3,1,10,6
7,2,3,5,3,15,94,10,3,0,13,4
7,4,3,3,4,15,101,10,3,0,13,4
7,4,3,3,4,15,101,10,3,0,13,4
6,3,3,2,4,15,70,10,3,0,13,4
6,4,3,4,3,15,91,10,3,1,13,4
7,3,3,1,3,15,66,10,3,0,12,4
7,4,3,2,14,15,93,10,3,1,10,3
6,2,3,1,4,16,218,10,3,0,11,4
8,2,4,1,4,16,75,10,3,1,11,3
7,3,4,1,5,16,142,10,3,0,10,4
7,1,4,2,4,16,85,10,3,0,12,4
6,4,3,2,4,16,100,10,3,1,12,5
6,2,3,2,3,16,91,10,3,0,12,4
6,2,3,2,3,16,91,10,3,0,12,4
7,6,1,2,11,16,151,10,3,1,9,2
7,3,3,11,4,16,66,10,3,0,12,1
6,4,2,2,5,16,137,10,3,1,10,4
7,3,2,1,5,16,135,10,3,1,10,5
7,2,3,5,4,16,131,10,3,1,11,4
7,2,3,8,5,16,131,10,3,0,9,5
8,2,4,2,5,16,84,10,3,0,10,5
8,2,3,2,3,16,98,10,3,0,10,4
10,3,5,1,4,16,160,10,3,0,11,3
7,2,3,4,3,16,78,10,3,1,11,4
7,2,3,1,5,16,128,10,3,1,10,4
7,4,5,3,3,16,94,10,3,0,12,5
7,4,5,8,5,16,169,10,3,0,9,4
8,3,4,2,6,16,107,10,3,1,10,3
7,3,4,16,6,16,165,10,3,1,9,3
6,3,4,2,4,16,120,10,3,1,11,3
7,2,3,1,3,16,63,10,3,0,10,3
6,2,3,2,4,16,84,10,3,1,10,4
7,3,4,2,4,16,85,10,3,1,12,4
9,2,3,16,4,16,132,10,3,0,12,4
8,3,4,1,5,16,96,10,3,1,10,3
8,2,3,3,5,16,89,10,3,0,10,4
7,2,3,2,5,16,100,10,3,0,11,4
9,2,4,2,5,16,104,10,3,1,10,2
7,2,4,2,4,16,104,10,3,1,11,3
6,2,3,14,3,16,99,10,3,0,12,6
7,2,3,7,3,16,87,10,3,1,11,5
7,5,3,4,5,16,81,10,3,1,13,5
7,3,3,1,4,16,98,10,3,0,12,4
7,2,3,6,4,16,111,10,3,0,11,4
7,2,3,6,4,16,111,10,3,0,11,4
9,3,3,1,5,16,109,10,3,0,10,3
9,3,3,1,5,16,109,10,3,0,10,3
6,2,3,8,4,16,108,10,3,1,10,4
7,4,7,2,18,16,98,10,3,1,10,4
7,3,2,18,3,16,116,10,3,1,9,3
7,3,2,18,3,16,116,10,3,1,9,3
7,3,3,4,5,16,79,10,3,0,11,4
5,2,3,3,5,16,93,10,3,1,10,5
6,3,3,5,5,16,119,10,3,0,9,3
6,3,3,5,5,16,119,10,3,0,9,3
6,3,3,2,4,16,87,10,3,1,12,4
7,3,3,5,4,16,121,10,3,1,13,4
6,3,3,3,4,16,117,10,3,0,13,4
7,2,2,5,10,16,115,10,3,0,10,3
7,2,3,3,5,16,92,10,3,1,9,3
7,3,4,9,4,16,76,10,3,1,11,3
7,3,4,9,4,16,76,10,3,1,11,3
7,3,4,9,4,16,76,10,3,1,11,3
7,3,3,6,4,16,112,10,3,1,11,3
6,3,3,3,3,16,102,10,3,1,11,4
